time,theta_b,dtheta_b,dtheta_w
1409.49,-7.33,-0.50,-25.89,-1.00
1414.57,-7.33,-0.47,-22.50,-1.00
1419.65,-7.33,-0.63,-18.77,-1.00
1424.73,-7.34,-0.66,-8.76,-1.00
1429.81,-7.34,-0.72,-16.64,-1.00
1434.89,-7.34,-0.93,-19.66,-1.00
1439.96,-7.35,-0.89,-17.31,-1.00
1445.04,-7.35,-1.00,-37.33,-1.00
1450.12,-7.36,-0.64,-21.04,-1.00
1455.19,-7.36,-0.61,-17.54,-1.00
1460.27,-7.36,-0.54,-27.31,-1.00
1465.35,-7.37,-0.50,-14.37,-1.00
1470.43,-7.37,-0.29,-9.48,-1.00
1475.50,-7.37,-0.05,-21.65,-1.00
1480.58,-7.37,-0.05,-11.71,-1.00
1485.66,-7.37,0.44,-14.65,-1.00
1490.73,-7.36,0.32,-21.80,-1.00
1495.81,-7.36,0.46,-20.69,-1.00
1500.88,-7.36,0.30,-23.17,-1.00
1505.96,-7.36,0.43,-26.84,-1.00
1511.04,-7.36,0.23,-18.29,-1.00
1516.11,-7.36,0.23,-16.95,-1.00
1521.19,-7.35,0.22,-21.41,-1.00
1526.26,-7.35,0.18,-14.06,-1.00
1531.34,-7.35,0.11,-16.50,-1.00
1536.42,-7.35,0.22,-22.61,-1.00
1541.49,-7.35,0.22,-15.29,-1.00
1546.57,-7.35,0.23,-19.47,-1.00
1551.64,-7.35,0.28,-29.63,-1.00
1556.72,-7.35,-0.01,-12.75,-1.00
1561.79,-7.35,-0.42,0.57,-1.00
1566.87,-7.35,-0.30,-18.42,-1.00
1571.94,-7.36,-0.81,-10.17,-1.00
1577.02,-7.36,-0.89,-17.31,-1.00
1582.07,-7.36,-1.06,-23.74,-1.00
1587.10,-7.37,-0.79,-12.83,-1.00
1592.16,-7.37,-0.88,-18.98,-1.00
1597.20,-7.38,-0.91,-24.84,-1.00
1602.23,-7.38,-0.96,-4.11,-1.00
1607.31,-7.39,-0.87,-13.77,-1.00
1612.39,-7.39,-0.71,-27.13,-1.00
1617.44,-7.39,-0.81,-18.33,-1.00
1622.52,-7.40,-0.89,-13.15,-1.00
1627.54,-7.40,-0.97,-24.30,-1.00
1632.62,-7.41,-1.14,-17.33,-1.00
1637.70,-7.41,-0.91,-17.27,-1.00
1642.75,-7.42,-0.94,-28.16,-1.00
1647.82,-7.42,-0.95,-16.86,-1.00
1652.90,-7.43,-0.93,-18.78,-1.00
1657.98,-7.43,-1.09,-28.25,-1.00
1663.05,-7.44,-1.04,-23.97,-1.00
1668.13,-7.44,-1.03,-16.50,-1.00
1673.20,-7.45,-1.20,-21.74,-1.00
1678.28,-7.46,-1.29,-18.00,-1.00
1683.35,-7.46,-1.28,-18.12,-1.00
1688.43,-7.47,-0.84,-28.47,-1.00
1693.51,-7.47,-0.74,-20.31,-1.00
1698.58,-7.47,-0.55,-22.95,-1.00
1703.66,-7.48,-0.62,-27.95,-1.00
1708.73,-7.48,-0.55,-24.55,-1.00
1713.81,-7.48,-0.57,-12.46,-1.00
1718.89,-7.49,-0.73,-20.87,-1.00
1723.96,-7.49,-0.98,-21.60,-1.00
1729.04,-7.50,-1.26,-19.62,-1.00
1734.12,-7.51,-2.07,-16.31,-1.00
