time,theta_b,dtheta_b,dtheta_w
503.87,0.18,-0.93,-168.75,0.00
505.00,0.18,-0.93,-166.87,0.00
506.14,0.17,-0.73,-166.87,0.00
507.27,0.17,-0.73,-166.87,0.00
508.41,0.17,-0.73,-166.87,0.00
509.54,0.17,-0.73,-168.75,0.00
510.70,0.17,-0.91,-168.75,0.00
511.83,0.17,-0.91,-168.75,0.00
512.97,0.17,-0.91,-168.75,0.00
514.06,0.17,-0.91,-168.75,0.00
515.19,0.17,-0.91,-168.75,0.00
516.33,0.16,-0.92,-168.75,0.00
517.46,0.16,-0.92,-168.75,0.00
518.59,0.16,-0.92,-166.87,0.00
519.73,0.16,-0.92,-166.87,0.00
520.88,0.16,-0.76,-166.87,0.00
522.02,0.16,-0.76,-170.62,0.00
523.15,0.16,-0.76,-170.62,0.00
524.28,0.16,-0.76,-170.62,0.00
525.42,0.16,-0.94,-170.62,0.00
526.58,0.16,-0.94,-168.75,0.00
527.71,0.16,-0.94,-168.75,0.00
528.84,0.16,-0.94,-168.75,0.00
529.98,0.16,-0.94,-168.75,0.00
531.11,0.15,-0.88,-170.62,0.00
532.25,0.15,-0.88,-170.62,0.00
533.38,0.15,-0.88,-170.62,0.00
534.53,0.15,-0.88,-168.75,0.00
535.67,0.15,-0.91,-168.75,0.00
536.81,0.15,-0.91,-168.75,0.00
537.94,0.15,-0.91,-168.75,0.00
539.08,0.15,-0.91,-170.62,0.00
540.25,0.14,-1.11,-170.62,0.00
541.38,0.14,-1.11,-170.62,0.00
542.52,0.14,-1.11,-170.62,0.00
543.65,0.14,-1.11,-170.62,0.00
544.79,0.14,-1.11,-170.62,0.00
545.92,0.14,-1.01,-170.62,0.00
547.06,0.14,-1.01,-166.87,0.00
548.19,0.14,-1.01,-166.87,0.00
549.33,0.14,-1.01,-166.87,0.00
550.47,0.13,-1.08,-166.87,0.00
551.60,0.13,-1.08,-166.87,0.00
552.74,0.13,-1.08,-166.87,0.00
553.87,0.13,-1.08,-166.87,0.00
555.00,0.13,-1.08,-168.75,0.00
556.14,0.13,-0.89,-168.75,0.00
557.28,0.13,-0.89,-168.75,0.00
558.41,0.13,-0.89,-168.75,0.00
559.54,0.13,-0.89,-168.75,0.00
560.70,0.12,-1.38,-168.75,0.00
561.84,0.12,-1.38,-168.75,0.00
562.97,0.12,-1.38,-168.75,0.00
