time,theta_b,dtheta_b,dtheta_w
3032.83,0.00,nan,-25800.90,0.00
3043.24,0.00,nan,-25448.69,0.00
3053.64,0.00,nan,-25115.37,0.00
3064.05,0.00,nan,-24788.75,0.00
3074.46,0.00,nan,-24428.79,0.00
3084.88,0.00,nan,-24095.90,0.00
3095.28,0.00,nan,-23748.06,0.00
3105.69,0.00,nan,-23367.68,0.00
3116.09,0.00,nan,-23085.69,0.00
3126.49,0.00,nan,-22715.24,0.00
3136.90,0.00,nan,-22313.02,0.00
3147.29,0.00,0.00,-21961.10,0.00
3157.70,0.00,nan,-21656.95,0.00
3168.11,0.00,nan,-21287.45,0.00
3178.51,0.00,nan,-20909.94,0.00
3188.92,0.00,nan,-20515.76,0.00
3199.32,0.00,nan,-20143.56,0.00
3209.74,0.00,nan,-19750.51,0.00
3220.14,0.00,nan,-19400.69,0.00
3230.54,0.00,nan,-18997.49,0.00
3240.95,0.00,nan,-18650.76,0.00
3251.35,0.00,nan,-18189.95,0.00
3261.76,0.00,nan,-17809.12,0.00
3272.17,0.00,nan,-17398.16,0.00
3282.57,0.00,nan,-17038.47,0.00
3292.98,0.00,nan,-16619.97,0.00
3303.39,0.00,nan,-16269.78,0.00
3313.79,0.00,nan,-15818.53,0.00
3324.20,0.00,nan,-15432.12,0.00
3334.60,0.00,nan,-15041.94,0.00
3345.02,0.00,nan,-14614.32,0.00
3355.43,0.00,nan,-14198.31,0.00
3365.83,0.00,nan,-13823.31,0.00
3376.24,0.00,nan,-13417.14,0.00
3386.64,0.00,nan,-12985.88,0.00
3397.05,0.00,nan,-12555.32,0.00
3407.46,0.00,nan,-12150.10,0.00
3417.87,0.00,nan,-11710.94,0.00
3428.28,0.00,nan,-11303.55,0.00
3438.68,0.00,nan,-10823.27,0.00
3449.09,0.00,nan,-10459.33,0.00
3459.50,0.00,nan,-9824.30,0.00
3469.86,0.00,nan,-9545.84,0.00
3480.26,0.00,0.00,-9101.09,0.00
3490.63,0.00,nan,-8717.79,0.00
3501.03,0.00,nan,-8282.49,0.00
3511.44,0.00,nan,-7843.93,0.00
3521.85,0.00,nan,-7402.23,0.00
3532.25,0.00,nan,-6989.97,0.00
3542.66,0.00,nan,-6565.50,0.00
3553.07,0.00,nan,-6153.30,0.00
3563.48,0.00,nan,-5716.56,0.00
3573.88,0.00,nan,-5282.12,0.00
3584.29,0.00,nan,-4865.42,0.00
3594.70,0.00,nan,-4400.94,0.00
3605.11,0.00,nan,-3991.92,0.00
3615.51,0.00,nan,-3561.36,0.00
3625.92,0.00,nan,-3172.07,0.00
3636.33,0.00,nan,-2756.02,0.00
3646.74,0.00,nan,-2399.20,0.00
3657.15,0.00,nan,-2029.10,0.00
3667.55,0.00,0.00,-1686.69,0.00
3677.96,0.00,nan,-1409.02,0.00
3688.36,0.00,nan,-1146.12,0.00
3698.77,0.00,nan,-684.56,0.00
3709.18,0.00,nan,-171.02,0.00
3719.58,0.00,nan,326.92,0.00
3729.99,0.00,nan,789.57,0.00
3740.40,0.00,nan,1185.65,0.00
3750.80,0.00,nan,1613.90,0.00
3761.21,0.00,nan,2005.27,0.00
3771.61,0.00,nan,2430.37,0.00
3782.01,0.00,nan,2806.43,0.00
3792.42,0.00,nan,3232.43,0.00
3802.82,0.00,nan,3615.66,0.00
3813.23,0.00,nan,3976.08,0.00
3823.64,0.00,nan,4343.55,0.00
3834.04,0.00,nan,4701.41,0.00
3844.45,0.00,nan,5059.20,0.00
3854.86,0.00,nan,5432.58,0.00
3865.26,0.00,nan,5810.88,0.00
3875.67,0.00,nan,6191.45,0.00
3886.08,0.00,nan,6560.54,0.00
3896.49,0.00,nan,6868.27,0.00
3906.89,0.00,nan,7258.52,0.00
3917.29,0.00,nan,7606.68,0.00
3927.70,0.00,nan,7941.57,0.00
